COGs	BG1	BG2	BG3	BP1	BP2	BP3	BS1	BS2	BS3	RG1	RG2	RG3	RP1	RP2	RP3	RS1	RS2	RS3
COG2919	36.0	0	2.9	9.3	8.6	34.7	20.4	86.1	5.8	1.0	1.5	3.0	46.7	20.9	30.9	7.7	4.6	4.6
COG2920	8.3	3.8	9.9	6.4	8.7	13.6	28.2	99.2	5.5	0	1.0	1.4	28.2	21.0	20.3	2.3	2.8	2.9
COG2921	44.0	16.0	5.4	6.3	4.7	16.1	26.1	97.5	4.1	0	1.0	1.0	22.8	15.2	17.0	1.0	2.2	1.7
COG2922	0	61.0	0	0	16.0	0	1.0	0	0	1.0	0	0	18.1	19.9	22.8	6.4	10.1	1.2
COG2923	31.4	5.5	9.8	13.4	8.8	18.7	40.9	114.0	5.0	0	1.0	3.0	42.4	15.5	23.5	3.0	5.3	2.0
COG2924	26.7	5.0	22.6	14.0	12.9	46.0	46.0	21.3	4.2	0	0	2.0	7.0	6.9	9.2	4.0	2.4	7.1
COG2925	204.4	12.8	53.4	71.1	33.1	113.0	96.4	118.2	17.5	1.9	1.0	2.1	86.0	73.9	91.4	18.2	16.7	20.9
COG2926	0	0	47.0	0	0	0	0	0	0	1.0	0	0	24.3	18.2	34.1	6.3	5.5	7.2
COG2927	71.0	0	11.0	14.8	8.4	57.2	12.7	0	8.7	1.3	1.7	2.0	22.3	12.3	14.6	5.7	5.6	1.0
COG2928	0	0	2.0	77.0	8.3	153.8	7.5	2.0	16.5	1.0	0	1.0	16.0	12.0	23.0	2.0	2.0	2.3
COG2929	0	0	0	2.0	1.0	16.0	0	0	0	0	0	0	39.0	13.0	9.0	1.0	1.0	1.0
COG2930	4.9	7.2	7.9	3.0	2.0	1.8	14.6	16.7	10.5	8.3	9.9	10.0	6.0	3.0	1.0	36.7	43.1	36.9
COG2931	19.6	15.8	148.0	110.4	50.2	203.1	667.6	607.3	17.7	1.7	1.4	3.3	71.1	179.5	272.0	4.9	6.3	7.6
COG2932	112.4	27.7	24.3	190.3	75.7	43.1	49.8	113.5	1.5	1.0	2.0	1.7	58.3	35.7	34.2	12.8	14.6	7.3
COG2933	3.0	2.1	18.1	23.4	16.1	91.3	86.1	94.0	18.1	1.0	1.5	1.4	64.4	52.4	63.3	16.6	13.2	18.4
COG2935	21.7	7.0	10.9	18.2	10.4	59.1	27.3	61.6	11.7	7.5	11.7	4.8	27.8	31.5	26.5	28.3	27.8	29.7
COG2936	4.4	5.2	7.4	2.3	4.5	3.1	8.8	12.0	8.5	6.7	6.5	4.0	2.8	4.2	13.8	22.0	26.8	26.1
COG2937	68.0	41.3	27.2	59.2	111.6	105.1	88.8	144.5	11.8	10.9	5.7	8.3	146.6	89.0	116.5	36.4	43.7	33.2
COG2938	4.6	5.0	3.1	5.4	3.4	6.4	13.5	14.3	4.5	3.8	1.4	2.2	8.5	6.8	15.0	10.2	10.3	9.6
COG2939	4.4	7.6	7.7	2.1	2.0	2.0	7.3	9.8	7.1	7.8	7.1	6.5	2.3	22.0	1.6	24.6	29.9	26.4
COG2940	5.7	11.3	11.9	3.2	4.1	3.5	20.6	20.2	16.8	14.0	11.4	9.3	2.5	4.4	1.9	57.6	68.0	61.7
COG2941	48.0	7.6	9.3	29.2	20.1	99.4	24.4	77.9	5.5	4.1	4.7	3.3	27.9	24.7	35.1	10.7	12.6	11.4
COG2942	128.9	60.6	23.3	34.2	28.6	129.3	142.6	280.8	14.4	0	1.9	0	83.7	60.1	62.8	13.4	10.3	10.1
COG2943	145.9	23.5	70.3	111.7	131.7	209.8	157.4	188.7	25.1	2.4	1.9	1.5	138.9	115.2	154.7	17.8	16.7	24.1
COG2944	0	16.0	3.5	14.1	6.8	14.6	48.5	1.0	2.0	1.3	1.3	2.2	48.0	21.4	25.5	2.8	3.8	1.8
COG2945	56.5	7.3	16.4	23.5	20.0	40.7	26.8	120.8	9.2	2.1	2.0	1.6	33.9	28.9	30.3	6.6	3.2	5.2
COG2946	0	0	0	0	0	0	0	0	34.0	0	0	0	0	0	0	0	0	0
COG2947	25.3	13.9	8.6	15.3	5.4	31.5	20.1	11.6	7.5	4.8	4.0	6.1	24.9	15.4	16.8	27.7	35.7	25.1
COG2948	0	0	0	39.0	381.7	76.5	639.0	0	0	0	2.0	1.0	0	9.2	6.5	91.0	86.2	157.0
COG2949	0	0	115.0	0	1.0	18.0	47.6	0	11.7	0	0	0	12.2	21.4	37.1	1.3	0	4.4
COG2951	137.0	6.8	55.2	37.4	42.8	109.1	165.5	266.4	10.3	1.9	1.9	1.9	65.0	55.6	65.8	6.9	9.9	7.3
COG2954	0	0	0	0	0	0	0	0	20.0	0	0	0	0	33.0	0	0	0	0
COG2956	0	167.0	87.5	0	8.5	134.0	0	0	0	1.8	1.0	1.0	38.4	41.1	52.5	36.0	31.3	22.1
COG2957	132.3	18.7	55.5	44.2	47.3	81.6	139.1	133.9	12.3	5.7	7.8	10.1	45.1	58.7	41.6	16.9	22.0	18.0
COG2958	4.0	5.0	0	1.0	625.0	582.0	0	2.0	661.0	0	0	0	5.0	8.0	17.0	0	0	1.0
COG2959	134.4	6.4	76.5	40.1	29.4	74.3	107.0	197.8	10.3	2.0	1.8	2.1	78.0	62.1	82.2	17.7	15.4	14.2
COG2960	39.6	18.6	14.4	12.9	9.3	42.9	24.9	94.8	3.0	0	1.0	1.6	24.8	26.6	41.1	5.0	7.9	1.4
COG2961	3.0	0	31.1	13.8	52.5	80.4	65.6	112.3	5.8	1.0	0	1.5	45.0	39.0	59.7	17.0	15.2	11.6
COG2962	45.9	10.9	36.6	29.7	16.7	93.9	59.8	192.9	8.3	1.5	3.6	2.0	69.0	60.7	61.1	3.5	7.0	5.1
COG2963	15.5	7.3	185.4	11.5	19.0	16.2	2.8	182.9	6.0	1.0	2.6	1.0	8.5	6.8	12.6	3.2	4.5	4.6
COG2964	117.9	0	25.0	16.0	0	31.3	119.0	0	1.0	1.0	1.9	2.8	81.1	36.7	64.5	3.2	6.3	5.9
