x;Kingdom;Phylum;Class;Order;Family;Genus
ASV0994;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella
ASV0995;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Cronobacter
ASV0996;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
ASV0997;Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Fructobacillus
ASV0998;Bacteria;candidate_division_WPS-1;NA;NA;NA;NA
ASV0999;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces
ASV1000;Bacteria;Cyanobacteria/Chloroplast;Chloroplast;Chloroplast;Streptophyta;NA
ASV1001;Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Lysinibacillus
ASV1002;Bacteria;Actinobacteria;Actinobacteria;NA;NA;NA
ASV1003;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium
ASV1004;Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas
ASV1005;Bacteria;Acidobacteria;Acidobacteria_Gp3;Gp3;NA;NA
ASV1006;Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga
ASV1007;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_Incertae_Sedis_XI;Anaerococcus
ASV1008;Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus
ASV1009;Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;Orbaceae;Gilliamella
ASV1010;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis
ASV1011;Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
ASV1012;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
